"","score","text"
"317",1,"happy halloween time extreme caffeine"
"318",0,"collection"
"319",0,"just quick preview look"
"320",1,"come join hop chance win"
"321",1,"jersey welcome wonderland"
"322",0,"sold water"
"323",0,"trinity woodworks preparing shipped tuesday oahu"
"324",0,"trinity woodworks preparing shipped tuesday oahu"
"325",-1,"obsessed cold brew"
"326",-1," candy corn cold brew"
"327",1,"share check items loving"
"328",0,"tweet somehow ladder mel valrico bloomingdale ave location"
"329",-1,"candy corn cold brew"
"330",1,"happy halloween"
"331",0,"aint truth happened thinking"
"332",-1,"pretty damn cold trying bribe roomie salted caramel mocha egg bites"
"333",-1,"come waiting mins mobile"
"334",0,"yeah alive muah"
"335",0,"completes rollout lightweight strawless lids canada eliminating billion sing"
"336",0,"yeah alive muah"
"337",0,"now shop huge sale giveaway"
"338",0,"dolce gusto capsules limited edition toffee nut "
"339",0,"yes love pay ice cold breakfast sandwich mean"
"340",1,"navotas sachet relief pack local officials readied bags globa"
"341",0,"trip"
"342",1,"saturday starting nicely spot pumpkin carving painting obligatory pum"
"343",1,"share check items loving"
"344",0,"help choices buy pcs special discount"
"345",0,"definitivamente toffee nut gana por mucho pumpkin"
"346",1,"tried pumpkin formal dignified taste yummy yummy"
"347",0,""
"348",0,"charleston knobs personality home deserves"
"349",1,"navotas sachet relief pack local officials readied bags globa"
"350",-1,"named founder michael starfucks changed tried pay fucking"
"351",0,"now time huckleberry"
"352",0,"coordinate canari tiered dress vintage cap salvatore ferragamo vintage pumps"
"353",-1,"much break"
"354",0,"pumpkin "
"355",1,"share check items loving"
"356",1,"share check items loving"
"357",3,"pumpkin spice puppuchino happy halloween hope enjoys day stay safe"
"358",-2,"listen trump terror heal mental health trauma mocking disabled person traumas"
"359",-1,"saturday october boycott"
"360",0,"totally"
"361",0,"pumpkin spice lattes season"
"362",0,"halloween"
"363",-2,"listen trump terror heal mental health trauma mocking disabled person"
"364",-1,"used pesticide losing battle pests alleges gothamist"
"365",0,"quite possibly pumpkin spice frappuchino"
"366",1,"happy spooky day friendly neighborhood ketchup mustard"
"367",0,"goooo nitro zozo game day mother fluppers"
"368",0,"grab"
"369",2,"literally everyday love baristas time write personalized notes"
"370",1,"share check items loving"
"371",-1,"halloween decor black ceramic mug black spooky season mug gift mug via"
"372",2,"saturday night super nice staff"
"373",0," continued starbuck idea platform comments"
"374",0," continued starbuck idea platform comments"
"375",0," continued starbuck idea platform comments"
"376",0,"continued starbuck idea platform comments"
"377",0,"time"
"378",0,"time"
"379",1,"share check items loving"
"380",2,"penn supervisor nicole recognizing john geoff improving load qualities continuing safely"
"381",-3,"special icymi closure bad fall extortion letters"
"382",-1,"named founder michael starfucks changed tried pay fucking"
"383",-3,"special icymi closure bad fall extortion letters"
"384",-3,"special icymi closure bad fall extortion letters"
"385",-1,"named founder michael starfucks changed tried pay fucking"
"386",0,"taught classes car parking lot near thursday friday internet"
"387",1,"happy halloween kids dressing comment tag photos"
"388",1,"navotas sachet relief pack local officials readied bags globa"
"389",0,"sbux enters downtrend momentum indicator dropped level october view odds"
"390",1,"navotas sachet relief pack local officials readied bags globa"
"391",0,"collection"
"392",1,"navotas sachet relief pack local officials readied bags globa"
"393",0,"chance act amid ghosts spiced lattes carb"
"394",0,""
"395",1,"navotas sachet relief pack local officials readied bags globa"
"396",1,"happy halloween carve eat pumpkins drawing"
"397",1," favorite mine"
"398",1,"delighted kerala lulu mall kochi grab favourite"
"399",1,"happy halloween chance shoot video lauch halloween"
"400",0," economics chart makes rea"
"401",1,"navotas sachet relief pack local officials readied bags globa"
"402",0,"salty caramel caramel macchiato instead"
"403",1,"happy halloween frappe san"
"404",1," favorite mine"
"405",2,"good morning ready serve"
"406",0,""
"407",1,"share check items loving"
"408",1,"navotas sachet relief pack local officials readied bags globa"
"409",0,"ak_outlet line annywawony"
"410",0,"ak_outlet line annywawony"
"411",0,"outdoor heating simple"
"412",0,"yeah probably time cums"
"413",1,"favorite lately"
"414",1,"navotas sachet relief pack local officials readied bags globa"
"415",0,"barista compliment quickly stressful mood changed"
"416",0,"leave lot tomorrow mom wanna try combos"
"417",1,"navotas sachet relief pack local officials readied bags globa"
"418",0,"vegan whipped ice recipe"
"419",1,"share check items loving"
"420",0,"halloween collection"
"421",1,"navotas sachet relief pack local officials readied bags globa"
"422",1,"good morning"
"423",-1,"venom tastic halloween experience"
"424",1,"navotas sachet relief pack local officials readied bags globa"
"425",0,"book god serious serious"
"426",1,"come join hop chance win"
"427",1,"navotas sachet relief pack local officials readied bags globa"
"428",1,"navotas sachet relief pack local officials readied bags globa"
"429",1,"navotas sachet relief pack local officials readied bags globa"
"430",0,"daughter bought americans kopi"
"431",1,"navotas sachet relief pack local officials readied bags globa"
"432",1,"navotas sachet relief pack local officials readied bags globa"
"433",1,"navotas sachet relief pack local officials readied bags globa"
"434",-1,"arya yeah karan karun marketing gimmick"
"435",1,"navotas sachet relief pack local officials readied bags globa"
"436",1,"navotas sachet relief pack local officials readied bags globa"
"437",1,"navotas sachet relief pack local officials readied bags globa"
"438",1,"navotas sachet relief pack local officials readied bags globa"
"439",1,"navotas sachet relief pack local officials readied bags globa"
"440",1,"navotas sachet relief pack local officials readied bags"
"441",1,"share check items loving"
"442",0,"auto connect wifi app goes wifi"
"443",2,"tried famous sooo gooood try"
"444",1,"come join hop chance win"
"445",0,"couple found records stocks dunno read sell"
"446",1,"come join hop chance win"
"447",0,"iced putting hours lol"
"448",0,"dig little deeper tiana matcha "
"449",2,"enjoying peaceful saturday read"
"450",0,"hope recognizes person educates wear mask ser"
"451",1,"share check items loving"
"452",0,"saying black lives matter saying word"
"453",1,"retail outlet sells flavored hot water huh"
"454",0,"premium news customer mask"
"455",1,"favorite mine"
"456",1,"come join hop chance win"
"457",2,"time bring classic super yummy"
"458",0,"baristas getting halloween morning"
"459",0,""
"460",4,"love supporting faithful helping fundraise local churches"
"461",1,"come join hop jaynetownsley chance win"
"462",1,"come join hop chance win"
"463",0,"sale dishwash"
"464",1,"come join hop chance win"
"465",0,"run actually idea"
"466",0,"gift card participate giveaway offer link"
"467",0,"attempting flavored frappuccino season"
"468",0,"disney fied costume modified ready ten traditional trick treating"
"469",0,"course loves pull fake ski"
"470",1,"come join hop chance win"
"471",1,"share check items loving"
"472",1,"come join hop chance win"
"473",0,"normal"
"474",0,"sell pumpkin spice lattes round"
"475",0,"blue waiting favorite"
"476",1,"happy halloween kids dressing comment tag photos"
"477",2,"congrats contest winners hope enjoy gift cards hnc team"
"478",1,"penn supervisor nicole recognizing john geoff improving load qualities continuing"
"479",1,"happy halloween boutique"
"480",1,"happy halloween kids dressing comment tag photos"
"481",0,"partners time study"
"482",2," beauty available head shop purchase"
"483",-1,"getting crazy childhood cartoon friends nitro cold brew happy friday"
"484",0,"sale tall  rising"
"485",1,"good morning saturday morning muffin sausage"
"486",0,"book god serious serious"
"487",-3,"wrong pick trash rubbish single plastics supplement infrastructure styro"
"488",0,"sure"
"489",0,"app buy egift cards using mastercard egc"
"490",1,"friends perfect blend"
"491",0,"  malta size  mug island country middle medi"
"492",1,"amazing"
"493",0," overcome multi location inventory challenges"
"494",0,"congrats halloweek gurubelanath roxanna stop boundaryless"
"495",2,"addition trendy garden location includes sparkling"
"496",0,"food japan reveals berry berry cheesecake frappuccino berry berry white chocolate mocha"
"497",-1,"named founder michael starfucks changed tried pay fucking"
"498",0,"pee"
"499",0," ornament  russia  season city country mugs"
"500",0,"added vegan oat milk menu locations vegan milk options include soy coconut"
"501",0,"breakfast"
"502",0," overcome multi location inventory challenges"
"503",0," economics chart makes rea"
"504",0," run vases"
"505",1,"living fix thank wanna buy caramelcurves"
"506",0,"overcome multi location inventory challenges"
"507",0,"changing format business district stores"
"508",1,"treat self happy friyay"
"509",0,"sometimes little green straw stockton"
"510",-1,"sbux analysis score score breakdown categories score neutral"
"511",0," common"
"512",0," common"
"513",1," chance pass similar law britain please lines pay fair share"
"514",1,"endorsed dowhatwedo artist gotsaakil"
"515",0," maybe"
"516",1,"congrats halloweek winners gurubelanath roxanna stop boundaryless union"
"517",1,"endorsed dowhatwedo artist gotsaa"
"518",0,"chance pass similar law britain please lines pay"
"519",0,"stock pressure corporation nasdaq sbux"
"520",0,"whatever"
"521",-1,"named founder michael starfucks changed tried pay fucking"
"522",1,"friends inspired moist maker sandwich brighten"
"523",0,"surpasses earning estimates amid recovering sales"
"524",1,"welcome grade started morning"
"525",0," closed finding"
"526",0,"new video channel"
"527",0,"pupccino"
"528",0,"featured listing downtown walnut creek office building california blvd walking distance"
"529",0,"hiring manager community impact strategy global social impact seattle"
"530",0,"got gift card morning help forthcoming hour"
"531",0,"pumpkin spice frap carmel"
"532",0,""
"533",0,"god pastry box"
"534",1,"spiced tea cocoa milk prefer traditional milk"
"535",0,"season center parking lot"
"536",1,"kudos team hosting mobile food drive bin please donate perishable item"
"537",0,"distance teaching perks richfield minnesota"
"538",2,"perfect weather hot"
"539",0,"collierville shut line speaker girl"
"540",0,"three stores closed toronto residents shook"
"541",0,"nothing season specialty"
"542",0,"flow grid update sbux shares"
"543",-1,"sorry bethany hope cut wage"
"544",1,"wow location mission bay san francisco real"
"545",0,"closed finding"
"546",1,"enough psl carmel brulee  hitting stores"
"547",2,"matter brand image methods super effective inspi"
"548",1,"share check items loving"
"549",1,"share check items loving"
"550",1,"share check items loving"
"551",0," legally buck multiple meanings customers technically purchase"
"552",-1,"named founder michael starfucks changed tried pay fucking"
"553",0,"surpasses earning estimates amid recovering sales sbux"
"554",0," legally buck multiple meanings customers technically purchase"
"555",1,"kudos employees police action parking lot moorpark"
"556",0,"legally buck multiple meanings customers technically purchase drin"
"557",0,""
"558",-1,"named founder michael starfucks changed tried pay fucking"
"559",0,"named founder michael starfucks changed tried pay fucki"
"560",0,"retailers built shopping center rochelle"
"561",1,"omg guy love sleeping totally days sleep walk togeth"
"562",-1,"let fall"
"563",1,"finally fav"
"564",1,"check washington mug  ounce tea hot chocolate via"
"565",0,"check mermaid siren ceramic tumbler mug sirena travel gift via"
"566",0,"hope brings gingerbread"
"567",1,"herding cats support card unique shirts styles colors"
"568",0,"rock climbing"
"569",3,"congratulations partners successful quarter proud"
"570",2,"matter brand image methods super effective inspi"
"571",0,"grassy lot"
"572",0,"drop litter star"
"573",1,"gawsh maple pecan amazing"
"574",-2,"girls waiting dark mochas drop shoes dar"
"575",0,"recently announced tie targets read efforts adv"
"576",0,"gaze moving colors mind fall autumnal zen zen boost app pic"
"577",-1,"sienna cold brew topped cinnamon dolce white mocha sweet cream cold foam"
"578",0,"maybe"
"579",0,"maybe"
"580",0,"maybe"
"581",0,"maybe"
"582",0,"auction preview start day bean temp controlled dcor"
"583",1,"kudos team hosting mobile food drive bin please donate perishable"
"584",1,"favorite post abortion feeling little sleepy cells vacuumed"
"585",0,"everyone gonna meet talk gonna"
"586",-1,"friday october boycott"
"587",0,"recently announced tie targets read eff"
"588",4,"sweet treats amazing sweet friends thank surprise"
"589",-1,"time hard left"
"590",-1,"mocking bird"
"591",2,"free free itunes music forever"
"592",0,"can please help teams respond communication channel emai"
"593",1,"shares dropped despite company beating top bottom line estimates fiscal"
"594",0,"reminding journey"
"595",0,"reminding journey"
"596",0,"reminding journey"
"597",2," run easier delivers available ubereats"
"598",-1," card err exclusive"
"599",0,"now commons pop market buy nitro cold brews free notepad supplies"
"600",0,"auction preview start day bean temp controlled"
"601",0,"pause gonn"
"602",1,"come join hop chance win"
"603",-1,"getting pumpkin cream cold brew tik tok yooo slaps white mocha"
"604",0,"forgot chai lattes exist"
"605",2,"congratulations andrea chandler winning amazon gift card"
"606",0,"please"
"607",2,"congratulations andrea chandler winning amazon gift card"
"608",0,"yes basic tch day"
"609",0,"mmmm cream"
"610",1,"love"
"611",0,"check mug days  poem words pear fruit image ceramic via"
"612",0,"keep check runs moderation key"
"613",3,"truffle deluxe hot chocolate joins red  festive favourites available"
"614",0,"fort lauderdale hollywood inte"
"615",0,"fort lauderdale hollywood internat"
"616",1,"halloween festive season"
"617",0," dang mask"
"618",0,"tastes autumn"
"619",0,"always"
"620",1,"earnings top estimates sales rebound return growth"
"621",2,"beauty available head shop purchase"
"622",3,"happy memories decade store thank free usual"
"623",3,"favorite treat seeing delicious dress matching boost"
"624",1,"still company home original deserving compliments social responsibity communit"
"625",1,"something finally smile yummy"
"626",0,"three stores closed toronto residents shook"
"627",-1,"getting spirit suiting black suit orange tie pumpkin spice crush"
"628",0,"city council terminates ground lease crossplex developer applies undeveloped portions"
"629",0,"even midst laying employees closing stores nationwide ceo howard schul"
"630",0,"rehab food court halloween"
"631",0,"get app click"
"632",1,"paradise"
"633",0,"charleston knobs personality home deserves"
"634",0,"dig little deeper tiana matcha "
"635",-1,"spooky song choices"
"636",1,"tech salutes teachers administrators thank giving"
"637",0,"home office finally rockin gables batgirl shirt day"
"638",1,"happy friday"
"639",0,"going question"
"640",1,"serve cent sugar free vanilla day paying bucks sitting"
"641",1,"dilute strong"
"642",1,"iced white mocha sweet cream foam extra caramel drizzle sounds"
"643",0,"remember sold beer wine stores"
"644",0,"october gathering"
"645",0,"october gathering"
"646",1,"happy friday bowie"
"647",0,"dig little deeper tiana matcha "
"648",0,"abd ak_outlet line annywawony"
"649",0,"abd ak_outlet line annywawony"
"650",0,"abd ak_outlet line annywawony"
"651",0,"abd ak_outlet line annywawony"
"652",0,"menu  menu"
"653",0,"october gathering"
"654",0,"october gathering"
"655",0,"morning"
"656",0,"check red mug mug via"
"657",3,"beautiful mug beautiful ceramic goodness"
"658",3,"perfect cool morning hot chocolate"
"659",0,"custom cheetah print stainless steel travel mug insulated leak proof mug "
"660",1,"predicted seasonal hot highlight"
"661",0," mouse cookie gonna"
"662",1,"lemonade peach strawberry juice"
"663",1,"best day eggnog"
"664",0,"happy friday wait real"
"665",1,"good morning"
"666",0,"nothing stops storm"
"667",0,"date night"
"668",0,"getting fix"
"669",0,"nothing stops storm"
"670",0,"get app click"
"671",0,"get app click"
"672",2,"matter brand image methods super effective"
"673",0,"check pour brewing system brew  nib via"
"674",0,"dude feel punched grill"
"675",0,"half filled ice selling ice instead"
"676",1,"drinking brand morning satisfying usual"
"677",1,"love waking family breakfast"
"678",0,"successful trip getting name wrong"
"679",0,""
"680",0,"content frappucino spare"
"681",0,"coming"
"682",-2,"todays vibe lots beats ice cold creamy decadent frappuccino"
"683",-1,"dude literally worst time rush return"
"684",0,"food service sector constantly updated"
"685",0,"usual unlike neighbouring independent"
"686",0,"usual unlike neighbouring independent"
"687",0,"day spot difference"
"688",0,"recruit"
"689",0,"actually addicted coffe okay drinking  roast heavenly"
"690",1,"foresees revenue margin recovery sbux"
"691",0,"sbux enters downtrend momentum indicator dropped level october view odds"
"692",0,"ak_outlet line annywawony"
"693",-2,"todays vibe lots beats ice cold creamy decadent frappuccino"
"694",-2,"todays vibe lots beats ice cold creamy decadent frappuccino"
"695",0,"global store sales shrunk fiscal fourth quarter"
"696",0,"ak_outlet line annywawony"
"697",0,"ak_outlet line annywawony"
"698",1,"seat warmer morning plainfield indiana"
"699",-1,"even nasty weather pink"
"700",0,"china  gingerbread glass  straw"
"701",1,"available store ubereats"
"702",0,"delivering"
"703",1,"share check items loving"
"704",1,"share check items loving"
"705",1,"karen  blm white woman disrespects black employee pull trump mask"
"706",1,"karen  blm white woman disrespects black employee pull trump mask"
"707",0,"thursday reported sales china recovering coronavirus pandemic"
"708",0,"unveils halloween drinkware collection via"
"709",1,"delighted kerala doors kochi favourite shopping destination lul"
"710",0,"deal coming chains serve disposable plastic straws looki"
"711",0,"morning babs"
"712",-1,"revealed truly disturbing effect home zdnet"
"713",0,"cofffee wine"
"714",0,"check pike  architecture series mug"
"715",-2,"todays vibe lots beats ice cold creamy decadent frappuccino"
"716",2,"offer exclusive usa receive worth answer easy questions enter competition"
"717",0,"feeling"
"718",1,"enjoying favorite fall treat remember process"
"719",1,"share check items loving"
"720",1,"brought picture crossback frequency available korea"
